Nome da Empresa	Valor total adquirido	Valor Empenhado
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$9.000,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$10.000,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$7.500,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$6.000,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$2.790,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$155,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$1.395,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$11.600,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$23.200,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$16.704,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$42.688,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$34.800,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$11.800,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$ -
INDUSTRIA E COMERCIO DE PRODUTOS CAMPINENSE LTDA	R$2.068,50	R$672,00
INDUSTRIA E COMERCIO DE PRODUTOS CAMPINENSE LTDA	R$2.068,50	R$1.396,50
SUPRIMAIS COMERCIO E SERVICOS DE INFORMATICA LTDA	R$22.469,23	R$215,28
SUPRIMAIS COMERCIO E SERVICOS DE INFORMATICA LTDA	R$22.469,23	R$196,80
SUPRIMAIS COMERCIO E SERVICOS DE INFORMATICA LTDA	R$22.469,23	R$15,20
SUPRIMAIS COMERCIO E SERVICOS DE INFORMATICA LTDA	R$22.469,23	R$7.640,00
SUPRIMAIS COMERCIO E SERVICOS DE INFORMATICA LTDA	R$22.469,23	R$1.320,00
